hillname,direct_distance_in_miles,road_distance_in_miles,drive_time_in_minutes,metres,feet,gridref,latitude,longitude
Beinn a'Chroin,34,0,0,941.4,3089,NN387185,56.331987,-4.609638
Liathach - Mullach an Rathain,125,0,0,1023,3356,NG911576,57.560891,-5.49255
Beinn Eighe - Ruadh-stac Mor,126,0,0,1010,3314,NG951611,57.593735,-5.429454
Beinn Eighe - Spidean Coire nan Clach,125,0,0,993,3258,NG966597,57.582098,-5.403706
Beinn Alligin - Sgurr Mhor,128,0,0,986,3235,NG865612,57.59082,-5.572764
Beinn Alligin - Tom na Gruagaich,127,0,0,922,3025,NG859601,57.580519,-5.581912
Sgorr Ruadh,120,0,0,960.7,3152,NG959505,57.498622,-5.407747
Maol Chean-dearg,120,0,0,933,3061,NG924499,57.491697,-5.465549
Beinn Liath Mhor,120,0,0,926,3038,NG964519,57.512074,-5.400617
An Teallach - Bidein a'Ghlas Thuill,138,0,0,1062.5,3486,NH068843,57.807098,-5.251767
An Teallach - Sgurr Fiona,138,0,0,1058.6,3473,NH064836,57.800726,-5.259443
Mullach Coire Mhic Fhearchair,132,0,0,1015.2,3331,NH052735,57.709022,-5.271342
Sgurr Ban,132,0,0,989,3245,NH055745,57.718538,-5.265903
Slioch,130,0,0,981,3219,NH004690,57.667176,-5.347047
A'Mhaighdean,133,0,0,967,3173,NH007749,57.719644,-5.34672
Beinn Tarsuinn,132,0,0,937,3074,NH039727,57.702052,-5.291601
Ruadh Stac Mor,134,0,0,918.7,3014,NH018756,57.726781,-5.329288
Sgurr Mor,129,0,0,1108,3635,NH203718,57.700134,-5.016748
Sgurr nan Clach Geala,129,0,0,1093,3586,NH184714,57.696287,-5.048238
Sgurr Breac,129,0,0,999,3278,NH158711,57.692050,-5.091722
A'Chailleach,129,0,0,997,3271,NH136714,57.693782,-5.128730
Beinn Liath Mhor Fannaich,129,0,0,954,3130,NH219724,57.706104,-4.989776
Meall Gorm,127,0,0,949,3114,NH221695,57.680837,-4.983801
Meall a'Chrasgaidh,130,0,0,934,3064,NH184733,57.712876,-5.048726
Fionn Bheinn,124,0,0,933,3061,NH147621,57.611148,-5.102713
Sgurr nan Each,128,0,0,923,3028,NH184697,57.681017,-5.046351
An Coileachan,126,0,0,923.9,3031,NH241680,57.667625,-4.949498
Beinn Dearg,134,0,0,1084,3556,NH259811,57.78635,-4.929557
Cona' Mheall,134,0,0,978,3209,NH275816,57.791068,-4.9034
Meall nan Ceapraichean,135,0,0,977,3205,NH257825,57.798505,-4.934011
Am Faochagach,133,0,0,953,3127,NH303793,57.771801,-4.853899
Eididh nan Clach Geala,136,0,0,927,3041,NH257842,57.813492,-4.934218
Seana Bhraigh,138,0,0,926,3038,NH281878,57.84733,-4.89662
Ben Wyvis - Glas Leathad Mor,125,0,0,1046,3432,NH462683,57.678895,-4.579282
Ben Hope,175,0,0,927,3041,NC477501,58.413113,-4.607860
Ben Klibreck - Meall nan Con,163,0,0,962.1,3156,NC585299,58.235202,-4.411130
Ben More Assynt,158,0,0,998,3274,NC318201,58.138173,-4.858192
Conival,158,0,0,987,3238,NC303199,58.135689,-4.883497
Sgurr Alasdair,118,0,0,992,3255,NG450207,57.206598,-6.224144
Sgurr Dearg - Inaccessible Pinnacle,118,0,0,986,3235,NG444215,57.213270,-6.234819
Sgurr a'Ghreadaidh,119,0,0,973,3192,NG445231,57.227286,-6.234438
Sgurr na Banachdich,119,0,0,965,3166,NG440224,57.220963,-6.241637
Sgurr nan Gillean,119,0,0,964,3163,NG471253,57.248262,-6.193098
Bruach na Frithe,120,0,0,958,3143,NG460252,57.246761,-6.210795
Sgurr Mhic Choinnich,118,0,0,948,3110,NG450210,57.208964,-6.2241
Sgurr Dubh Mor,117,0,0,944,3097,NG457205,57.204894,-6.211421
Am Basteir,119,0,0,934,3064,NG465253,57.247931,-6.202982
Bla Bheinn [Blabheinn] [Blaven],115,0,0,929,3048,NG529217,57.219565,-6.093210
Sgurr nan Eag,117,0,0,926.2,3039,NG457195,57.195810,-6.211264
Sgurr a'Mhadaidh,119,0,0,918,3012,NG447235,57.230869,-6.231931
Ben More,76,0,0,966,3169,NM525330,56.424829,-6.014015
Beinn Dubhchraig,40,0,0,978,3209,NN307254,56.391304,-4.743194
Beinn Bhuidhe,39,0,0,948.5,3112,NN203187,56.326662,-4.906722
Ben Vorlich,33,0,0,943,3094,NN295124,56.274030,-4.755047
Beinn Narnain,31,0,0,927,3041,NN271066,56.220947,-4.789002
Beinn a'Chleibh,41,0,0,916.3,3006,NN250256,56.390231,-4.835632
Ben Vane,32,0,0,915.76,3004,NN277098,56.249786,-4.781639
Schiehallion,55,0,0,1083,3553,NN713547,56.666942,-4.100213
Beinn a'Chreachain,49,0,0,1080.6,3545,NN373440,56.560382,-4.647618
Beinn Dorain,46,0,0,1076,3530,NN325378,56.502888,-4.722142
Carn Mairg,53,0,0,1042,3419,NN684512,56.634644,-4.145592
Beinn Achaladair,49,0,0,1038.5,3407,NN344432,56.551887,-4.694525
Carn Gorm,51,0,0,1029,3376,NN635500,56.622599,-4.226073
Beinn an Dothaidh,48,0,0,1004,3294,NN331408,56.530113,-4.713947
Meall na Aighean,52,0,0,981,3219,NN694496,56.620618,-4.128740
Meall Garbh,53,0,0,968,3176,NN647516,56.637381,-4.207472
Stuchd an Lochain [Stuc an Lochain],48,0,0,960,3150,NN483448,56.570907,-4.470586
Beinn Mhanach,47,0,0,953,3127,NN373411,56.53404,-4.646059
Meall Buidhe,51,0,0,932,3058,NN498499,56.617231,-4.448591
Ben Lawers,46,0,0,1214,3983,NN635414,56.544922,-4.22086
An Stuc,47,0,0,1117.1,3665,NN638431,56.560093,-4.216258
Meall Garbh,48,0,0,1123.1,3685,NN644437,56.566122,-4.207707
Beinn Ghlas,45,0,0,1103,3619,NN625404,56.536005,-4.236977
Beinn Sheasgarnaich [Beinn Heasgarnich],45,0,0,1077.4,3535,NN413383,56.510272,-4.579218
Meall Corranaich,46,0,0,1069,3507,NN615410,56.540946,-4.253469
Bidean nam Bian,60,0,0,1149.4,3771,NN143542,56.642768,-5.029335
Stob Coire Sgreamhach,59,0,0,1072,3517,NN154536,56.638322,-5.010285
Beinn a'Bheithir - Sgorr Dhearg,63,0,0,1024,3360,NN056558,56.653921,-5.171510
Buachaille Etive Mor - Stob Dearg,58,0,0,1021.4,3351,NN222542,56.646229,-4.900336
Beinn a'Bheithir - Sgorr Dhonuill,64,0,0,1001,3284,NN040555,56.650499,-5.197757
Sgor na h-Ulaidh [Sgurr na h-Ulaidh],60,0,0,994,3261,NN111517,56.619813,-5.080078
Beinn Fhionnlaidh,59,0,0,959,3146,NN095497,56.600979,-5.104733
Buachaille Etive Beag - Stob Dubh,59,0,0,958,3143,NN179535,56.638159,-4.970747
Buachaille Etive Mor - Stob na Broige,58,0,0,953.4,3128,NN190525,56.629880,-4.951151
Beinn Sgulaird,58,0,0,937,3074,NN053460,56.566232,-5.170365
Buachaille Etive Beag - Stob Coire Raineach,59,0,0,925,3035,NN191548,56.649929,-4.951685
