hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,Tu,Sim,M,MT,F,C,G,D,DT,DN,Hew,N,5,5D,5H,4,3,2,1,0,sMa,sHu,sSim,s5,s5D,s5H,s4,W,WO,B,Sy,Fel,CoH,CoU,CoA,CoL,SIB,xMT,xC,xG,xN,xDT,Mur,CT,GT,BL,Bg,T100,P600,P500,O,Un
1,"Ben Chonzie","01A",,"Ma,M,Sim","931","3054","NN773308","NN 77326 30850","NN 5609 2773","283.3","648","cairn/shelter","","Abney level","2014-12-08","col height measured with Leica RX1250","51 52","OL47W 368W 379W","277324","730857","56.453851","-3.992057","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
17,"Ben Vorlich","01B",,"Ma,M,Sim","985","3232","NN629189","NN 62914 18909","NN 5754 2149","151","834","trig point","cairn 125m ESE at NN 63033 18865 is lower","","2014-12-08","col measured to be 151.0m with Leica RX1250","57","OL46N OL47W 365N 368","262911","718916","56.34268","-4.219464","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
18,"Stuc a'Chroin","01B",,"Ma,M,Sim","975","3199","NN617174","NN 61749 17458","NN621183","723","252","cairn on E side of summit","cairn on W side of summit at NN 61673 17437 is lower","","2001-10-28","","57","OL46N OL47W 365N 368","261746","717465","56.329315","-4.237533","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,"Ben More","01C",,"Ma,M,Sim,CoU, CoA","1174","3852","NN432244","NN 43278 24409","NN382244","188","986","trig point","","","2001-10-28","","51","OL46N 365N","243275","724417","56.385952","-4.540103","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
27,"Stob Binnein","01C",,"Ma,M,Sim","1165","3822","NN434227","NN 43484 22705","NN432235","862","303","cairn","","","2001-10-28","","51","OL46N 365N","243481","722713","56.370726","-4.535753","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,"Cruach Ardrain","01C",,"Ma,M,Sim","1045.9","3431","NN409212","NN 40930 21207","NN421226","497","549","cairn","","Leica RX1250","2015-09-03","hill 29 Cruach Ardrain SW Top (NN 40818 21104) is 104cm lower","51 56","OL39N 364N","240927","721215","56.356429","-4.576151","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
31,"An Caisteal","01C",,"Ma,M,Sim","995.8","3267","NN378193","NN 37876 19336","NN397197","523","473","cairn","","obvious summit/Leica RX1250","2015-05-30","","50 56","OL39N 364N","237873","719343","56.3386","-4.624368","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,"Ben Lomond","01C",,"Ma,M,Sim,CoH","974","3196","NN367028","NN 36711 02855","NN397098","154","820","rock outcrop c 4m SE of trig point","","obvious summit","2001-10-28","","56","OL39S 364S","236707","702862","56.190284","-4.633008","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
35,"Beinn Tulaichean","01C",30,"Hu,M,Sim","945.8","3103","NN416196","NN 41663 19596","NN 4120 2031","824","121.8","rock by cairn","","Leica RX1250","2015-09-03","col measured as 824.0m","56","OL46N 365N","241660","719604","56.342216","-4.56333","S","",0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,"Beinn Chabhair","01C",,"Ma,M,Sim","932.1","3058","NN367179","NN 36763 17950","NN373183","619","313","small cairn","","Leica RX1250","2014-05-17","","50 56","OL39N 364N","236760","717957","56.325775","-4.641485","S","",0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
